lat,lon,first_year,last_year,first_richness,last_richness,delta,direction
44.55,6.25,2023,2024,19.08,17.97,-1.11,down
56.75,37.15,2023,2024,13.16,9.78,-3.38,down
47.25,9.75,2023,2025,12.46,7.84,-4.62,down
52.35,13.85,2023,2024,17.35,16.0,-1.35,down
53.55,-1.75,2023,2025,13.93,16.8,2.87,up
63.85,20.75,2023,2025,5.68,9.71,4.03,up
50.45,16.35,2023,2025,13.79,8.96,-4.83,down
51.95,5.95,2023,2025,14.06,8.99,-5.06,down
49.45,0.35,2023,2024,9.47,9.26,-0.21,flat
43.45,4.45,2023,2024,18.88,8.68,-10.2,down
49.45,8.65,2023,2025,15.84,15.45,-0.39,flat
58.75,17.85,2023,2024,15.95,9.95,-6.0,down
48.65,-4.25,2023,2024,14.31,11.91,-2.4,down
58.75,17.15,2023,2025,8.71,9.95,1.24,up
59.45,17.25,2024,2025,19.1,14.29,-4.81,down
47.85,11.05,2023,2024,21.21,16.93,-4.28,down
39.85,-4.25,2023,2024,11.57,8.36,-3.21,down
59.55,17.45,2023,2025,13.84,17.0,3.16,up
48.45,-5.05,2023,2025,9.1,7.78,-1.32,down
48.05,-4.85,2023,2025,8.04,8.56,0.52,up
39.25,16.65,2023,2025,18.72,9.7,-9.02,down
39.55,16.65,2024,2025,20.19,12.82,-7.37,down
41.65,0.95,2023,2025,15.89,12.42,-3.47,down
37.85,35.15,2023,2024,7.69,12.12,4.42,up
42.45,-5.55,2023,2024,15.62,21.67,6.06,up
41.85,-8.85,2023,2025,15.33,15.67,0.34,flat
42.35,1.05,2023,2024,11.0,13.98,2.98,up
48.45,-5.15,2023,2024,10.05,11.79,1.73,up
60.55,4.85,2024,2025,6.55,9.09,2.54,up
48.65,-4.45,2023,2024,13.29,9.57,-3.71,down
41.35,0.75,2024,2025,10.93,9.3,-1.64,down
48.05,-4.55,2023,2025,5.67,8.4,2.73,up
39.35,16.65,2023,2025,13.0,16.97,3.97,up
48.65,-1.45,2023,2025,10.85,9.57,-1.28,down
39.05,16.45,2024,2025,15.43,16.66,1.23,up
49.35,0.55,2023,2025,12.56,21.58,9.02,up
51.45,0.45,2024,2025,9.04,6.0,-3.04,down
42.55,9.25,2024,2025,3.0,8.19,5.19,up
44.45,8.95,2023,2025,11.37,12.77,1.4,up
52.35,13.75,2023,2024,20.9,17.0,-3.9,down
53.05,-4.15,2023,2024,7.81,7.61,-0.2,flat
45.15,1.85,2023,2025,8.65,7.71,-0.94,down
40.95,-1.75,2024,2025,10.78,4.1,-6.68,down
41.75,-5.95,2023,2025,26.9,14.22,-12.68,down
63.85,19.85,2023,2024,14.96,15.45,0.49,flat
56.15,10.15,2023,2025,10.0,9.32,-0.68,down
60.25,17.15,2023,2025,5.37,14.05,8.68,up
41.55,-8.35,2023,2025,12.59,15.71,3.12,up
51.75,-0.15,2023,2025,9.58,7.43,-2.14,down
39.45,16.75,2023,2025,15.88,16.25,0.37,flat
52.65,-0.55,2023,2025,8.57,12.82,4.25,up
51.55,-0.05,2023,2025,11.27,11.27,-0.0,flat
63.85,20.25,2023,2024,3.17,10.26,7.09,up
41.95,1.75,2023,2024,9.13,13.0,3.87,up
49.15,-0.45,2023,2025,9.45,13.0,3.55,up
51.95,16.75,2023,2024,8.23,15.22,6.99,up
46.55,0.25,2023,2025,13.43,6.91,-6.52,down
38.55,-9.15,2023,2024,13.74,6.23,-7.51,down
51.05,4.25,2023,2025,12.17,8.81,-3.36,down
50.65,3.15,2023,2024,10.99,11.39,0.4,flat
51.55,22.85,2024,2025,14.66,13.14,-1.52,down
48.25,17.05,2023,2025,17.69,22.45,4.75,up
44.05,1.75,2023,2024,16.83,7.84,-8.99,down
55.55,14.35,2024,2025,16.55,15.35,-1.2,down
56.15,14.85,2023,2025,13.0,16.6,3.6,up
55.45,14.25,2024,2025,18.09,21.07,2.98,up
47.95,11.05,2023,2024,19.6,20.23,0.62,up
51.75,-0.05,2023,2025,8.9,8.07,-0.83,down
59.25,17.95,2023,2024,9.27,14.66,5.39,up
43.15,-2.55,2023,2025,8.77,9.08,0.31,flat
