lat_cell,lon_cell,continent,n_rec,S_obs,S_rare10,Acoustic_Complexity_Index__mean,Acoustic_Diversity_Index__main_value,Acoustic_Evenness_Index__main_value,Bio_acoustic_Index__main_value,Normalized_Difference_Sound_Index__main_value,Spectral_Entropy__main_value,Temporal_Entropy__main_value,NB_peaks__main_value,Acoustic_Diversity_Index_NR__main_value,Bio_acoustic_Index_NR__main_value,Spectral_Entropy_NR__main_value
-19.1,48.4,africa,10,8,8.0,160.8577631034037,1.431284622361289,0.5431670010240065,11.922386245625244,0.9570221375723527,0.7989044947867457,0.9369591353033447,2.0,1.4985513002172943,13.401833217956693,0.7345513978573445
9.6,-13.6,africa,4,3,,174.72573950106965,2.0444164252556822,0.11394791018599604,7.735699355276297,0.601062181569764,0.8714421579637055,0.9570898003159701,4.5,1.983384484407516,8.784355730672559,0.8509856825241001
12.5,-16.6,africa,1,2,,300.03568616147044,1.9054135011452145,0.2534335090208799,26.025388132725656,0.9999433784774977,0.8298981272005456,0.9386101914474708,7.0,1.9007588256263008,26.608417015090534,0.8253149752637168
-3.4,39.9,africa,225,74,14.042,165.52366439618572,1.830127292260778,0.2960011740372959,11.547962788928325,0.5698875303452358,0.7705350387602564,0.9544149687361474,3.2666666666666666,1.8211552226422034,13.125341023431282,0.7470329994921383
0.9,17.1,africa,2,2,,174.45787476525197,1.6248260135457715,0.4480136556362244,11.653220036726715,0.9747245379326925,0.8073087648247022,0.9549569409944478,4.0,1.6638270801108959,12.53759186326548,0.7519835453467372
-24.0,28.3,africa,61,25,7.952,161.14759964847408,1.5187270430226145,0.49844967868255946,12.725591135147399,0.24940010001152071,0.7437873323240383,0.9401579483339616,3.3114754098360657,1.5415576408064562,14.365830683999766,0.7039788010447993
-24.6,30.8,africa,2,6,,160.425320796018,1.9354566555051642,0.24340986061095693,10.802193725884973,0.8351235755714275,0.8406324115664399,0.9462484954336567,6.0,1.9177565808717945,11.075545186306481,0.8075505024192451
-15.6,46.8,africa,6,6,,157.11692794374633,2.0492373885323842,0.09971334618202954,5.320244281447841,0.5732758404843542,0.8800843660223393,0.9640598595592933,6.666666666666667,1.9901678729967252,6.686014519547726,0.8431374750492849
10.8,19.7,africa,49,38,11.561,159.36661088914605,1.9021115640084036,0.26582134443177863,10.879401987040563,0.3571331721155435,0.8820404137041549,0.9560321899896687,3.7755102040816326,1.9016998100895153,13.563637731458245,0.817792881895141
9.5,-13.8,africa,1,1,,178.5165840235114,1.9712462750211701,0.22612813963388678,10.403713541972374,-0.44199339043991864,0.7622138414115635,0.9852493002210934,4.0,1.965389306164877,11.056238745964428,0.7788218886498197
23.2,-16.1,africa,1,1,,152.2323895369632,2.0308942751424386,0.17559969224932015,1.6537902362773504,-0.8845181138284373,0.8978017815182217,0.956034377074386,3.0,2.0590390168419144,2.8752090959497116,0.8203081823924183
-1.0,36.6,africa,24,14,8.379,166.7153230340898,1.8103470439208789,0.3346970801194576,10.396904220735797,0.8098246138344855,0.770331576148057,0.9467847160751347,2.9583333333333335,1.817895195575767,10.947898297199686,0.7419165790336494
-24.7,31.5,africa,268,76,9.941,165.15260438399284,1.7968681905988182,0.33056949290778764,12.22483295666727,0.625049985972838,0.7888037004380009,0.9338977289579167,4.455223880597015,1.8017976993155986,13.626622950799234,0.7530862088685837
0.7,34.3,africa,3,3,,172.27951827179106,1.5638250683689972,0.5230434847231924,15.139978187603154,0.9896830298616593,0.6725294339454418,0.9366006312787212,2.0,1.594646107212662,15.623179352876605,0.6165880947011938
-12.5,15.1,africa,1,1,,218.3637730384919,2.052800730079875,0.12430103162875228,11.33490395258335,0.9844526227179723,0.7574411202504715,0.9595993450104569,4.0,2.006801790750596,12.722822011771221,0.6935613042289255
0.8,17.0,africa,6,7,,156.93241723640935,1.994307239125141,0.18381371135837918,10.26936412995553,0.6786219408137706,0.8477307905994959,0.9774141116555919,3.6666666666666665,1.9432782709259404,11.778224600989214,0.8195718780474607
-16.6,35.0,africa,48,43,16.042,179.37864217587637,1.90879398757083,0.2672078142318442,12.774375768778867,0.8954807682578526,0.8127528975252974,0.9361412044863777,5.645833333333333,1.9124207575832053,13.876689724425445,0.7897538193663866
0.8,30.0,africa,61,34,8.849,170.72558157329314,1.951261750236794,0.20091662820575348,9.243416520000778,0.6152201907148963,0.8687519261522257,0.9721347818269765,5.557377049180328,1.8999223605097069,10.257153286263202,0.8340536786039549
